id,model_type,arquitectura,clase,descargas,capas,ancho,cabezas,kv,ffn,vocab,rope,rmsnorm,glu,gqa,moe,params_entrada,params_bloque,params_predichos,params_reales
neuralmind/bert-large-portuguese-cased,bert,BertForMaskedLM,encoder_texto,1622286,24,1024,16,16,4096,29794,0,0,0,0,0,31035392,302039040,333074432,
EleutherAI/pythia-70m-deduped,gpt_neox,GPTNeoXForCausalLM,lenguaje_denso,833628,6,512,8,8,2048,50304,0,0,0,0,0,52559872,18880512,71440384,95592496
sentence-transformers/nli-mpnet-base-v2,mpnet,MPNetModel,encoder_texto,855143,12,768,12,12,3072,30527,0,0,0,0,0,23839488,84953088,108792576,109486978
prism-ml/Bonsai-27B-mlx-1bit,qwen3_5,Qwen3_5ForConditionalGeneration,multimodal,1477007,64,5120,24,4,17408,248320,1,1,1,1,0,2543908480,21027225600,23571134080,1724001520
google/siglip-so400m-patch14-384,siglip,SiglipModel,multimodal,1357022,27,1152,16,16,4304,0,0,0,0,0,0,1518336,822265344,823783680,877960498
jinaai/jina-reranker-v2-base-multilingual,,XLMRobertaForSequenceClassification,encoder_texto,1159927,12,768,12,12,3072,250002,0,0,0,0,0,192790272,84953088,277743360,278437633
daekeun-ml/koelectra-small-v3-nsmc,electra,ElectraForSequenceClassification,encoder_texto,2510769,12,256,4,4,1024,35000,0,0,0,0,0,9091584,9443328,18534912,14123010
Qwen/Qwen2.5-7B-Instruct-AWQ,qwen2,Qwen2ForCausalLM,lenguaje_denso,3690778,28,3584,28,4,18944,152064,1,1,1,1,0,1089994752,6525489152,7615483904,7615616512
Qwen/Qwen3-ASR-0.6B,qwen3_asr,Qwen3ASRForConditionalGeneration,encoder_texto,758520,,,,,,,0,0,0,0,0,,,,938008576
nvidia/nemotron-3.5-asr-streaming-0.6b,nemotron3_5_asr,Nemotron3_5AsrForRNNT,encoder_texto,941498,,,,,,,0,0,0,0,0,,,,637997088
dima806/fairface_age_image_detection,vit,ViTForImageClassification,vision,1906573,12,768,12,12,3072,0,0,0,0,0,0,741120,84953088,85694208,85805577
intfloat/e5-base-v2,bert,BertModel,encoder_texto,1114897,12,768,12,12,3072,30522,0,0,0,0,0,23835648,84953088,108788736,109482752
FacebookAI/xlm-roberta-large,xlm-roberta,XLMRobertaForMaskedLM,encoder_texto,3806771,24,1024,16,16,4096,250002,0,0,0,0,0,256529408,302039040,558568448,561192082
datasocietyco/bge-base-en-v1.5-course-recommender-v5,bert,BertModel,encoder_texto,4211587,12,768,12,12,3072,30522,0,0,0,0,0,23835648,84953088,108788736,109482240
zai-org/GLM-OCR,glm_ocr,GlmOcrForConditionalGeneration,multimodal,2011780,16,1536,16,8,4608,59392,1,1,1,1,0,183645184,453033984,636679168,1325258240
Falconsai/nsfw_image_detection,vit,ViTForImageClassification,vision,4243130,12,768,12,12,3072,0,0,0,0,0,0,741120,84953088,85694208,85800194
NbAiLab/nb-wav2vec2-1b-bokmaal-v2,wav2vec2,Wav2Vec2ForCTC,audio,1179067,48,1280,16,16,5120,41,0,0,0,0,0,52480,943841280,943893760,962549929
microsoft/wavlm-base-plus,wavlm,WavLMModel,encoder_texto,945442,12,768,12,12,3072,32,0,0,0,0,0,24576,84953088,84977664,
peft-internal-testing/tiny-random-OPTForCausalLM,opt,OPTForCausalLM,lenguaje_denso,828006,5,16,4,4,4,50265,0,0,0,0,0,805840,5920,811760,812404
microsoft/VibeVoice-ASR,vibevoice,VibeVoiceForASRTraining,encoder_texto,706204,,,,,,,0,0,0,0,0,,,,8674021857
Qwen/Qwen3-Embedding-0.6B,qwen3,Qwen3ForCausalLM,lenguaje_denso,7157326,28,1024,16,8,3072,151669,1,1,1,1,0,155309056,352378880,507687936,595776512
facebook/contriever,bert,Contriever,encoder_texto,7951050,12,768,12,12,3072,30522,0,0,0,0,0,23835648,84953088,108788736,
Xenova/whisper-tiny.en,whisper,WhisperForConditionalGeneration,encoder_texto,728610,,,,,,,0,0,0,0,0,,,,
onnx-community/Kokoro-82M-v1.0-ONNX,style_text_to_speech_2,,encoder_texto,1077804,,,,,,,0,0,0,0,0,,,,
audeering/wav2vec2-large-robust-24-ft-age-gender,wav2vec2,Model,audio,2347477,24,1024,16,16,4096,32,0,0,0,0,0,32768,302039040,302071808,317542020
jinaai/jina-embeddings-v2-small-en,bert,JinaBertForMaskedLM,encoder_texto,927058,4,512,8,8,2048,30528,0,0,0,0,0,15630336,12587008,28217344,32690688
openai/clip-vit-large-patch14,clip,CLIPModel,multimodal,7161989,12,768,12,12,3072,49408,0,0,0,0,0,38869760,386992128,425861888,427616846
Qwen/Qwen2-1.5B-Instruct,qwen2,Qwen2ForCausalLM,lenguaje_denso,736554,28,1536,12,2,8960,151936,1,1,1,1,0,233373696,1310281728,1543655424,1543714304
Qwen/Qwen3-14B-AWQ,qwen3,Qwen3ForCausalLM,lenguaje_denso,2282295,40,5120,40,8,17408,151936,1,1,1,1,0,1555824640,13212467200,14768291840,14768307200
FacebookAI/roberta-base,roberta,RobertaForMaskedLM,encoder_texto,8620652,12,768,12,12,3072,50265,0,0,0,0,0,38999040,84953088,123952128,124697947
timm/tf_efficientnetv2_s.in21k_ft_in1k,,,encoder_texto,1873154,,,,,,,0,0,0,0,0,,,,21612360
dbmdz/bert-large-cased-finetuned-conll03-english,bert,BertForTokenClassification,encoder_texto,4470784,24,1024,16,16,4096,28996,0,0,0,0,0,30218240,302039040,332257280,333588489
lmstudio-community/gemma-4-E4B-it-MLX-6bit,gemma4,Gemma4ForConditionalGeneration,multimodal,1141328,42,2560,8,2,10240,262144,1,1,0,1,0,671829760,3003623424,3675453184,7996156490
facebook/opt-125m,opt,OPTForCausalLM,lenguaje_denso,9050164,12,768,12,12,3072,50272,0,0,0,0,0,40181760,84953088,125134848,
w11wo/indonesian-roberta-base-posp-tagger,roberta,RobertaForTokenClassification,encoder_texto,2339928,12,768,12,12,3072,50265,0,0,0,0,0,38999040,84953088,123952128,124075034
apple/OpenELM-1_1B-Instruct,openelm,OpenELMForCausalLM,lenguaje_denso,1399984,,,,,,,0,0,0,0,0,,,,1079891456
Qwen/Qwen3-VL-Embedding-8B,qwen3_vl,Qwen3VLForConditionalGeneration,multimodal,1135575,36,4096,32,8,12288,151936,1,1,1,1,0,1245771392,6946062336,8191833728,8144793840
PaddlePaddle/PP-OCRv5_server_det,,,encoder_texto,737290,,,,,,,0,0,0,0,0,,,,
docling-project/docling-layout-heron,rt_detr_v2,RTDetrV2ForObjectDetection,encoder_texto,1739789,,,,,,,0,0,1,0,0,,,,42889979
intfloat/multilingual-e5-large,xlm-roberta,XLMRobertaModel,encoder_texto,7063892,24,1024,16,16,4096,250002,0,0,0,0,0,256529408,302039040,558568448,559890946
OBLITERATUS/Qwen3.8-27B-OBLITERATED,qwen3_5,Qwen3_5ForConditionalGeneration,multimodal,995160,64,5120,24,4,17408,248320,1,1,1,1,0,2543908480,21027225600,23571134080,27781427952
nomic-ai/nomic-embed-text-v1.5,nomic_bert,NomicBertModel,encoder_texto,16366751,12,768,12,12,3072,30528,1,0,1,0,0,23445504,113264640,136710144,136731648
NeoQuasar/Kronos-Tokenizer-base,,,encoder_texto,2578002,,,,,,,0,0,0,0,0,,,,3958258
iitolstykh/mivolo_v2,mivolo,MiVOLOForImageClassification,encoder_texto,2574246,,,,,,,0,0,0,0,0,,,,28761822
distilbert/distilbert-base-uncased-finetuned-sst-2-english,distilbert,DistilBertForSequenceClassification,encoder_texto,3849513,,,,,,,0,0,0,0,0,,,,66955010
farbodtavakkoli/OTel-LLM-27B-IT,gemma3,Gemma3ForConditionalGeneration,multimodal,1346989,62,5376,32,16,21504,262208,1,1,0,1,0,1415027328,20122537728,21537565056,
ibm-research/PowerMoE-3b,granitemoe,GraniteMoeForCausalLM,moe,1109340,32,1536,24,8,512,49152,1,1,1,1,1,75497472,3223289856,3298787328,3374286336
nomic-ai/nomic-embed-text-v1,nomic_bert,NomicBertModel,encoder_texto,3812009,12,768,12,12,3072,30528,1,0,1,0,0,23445504,113264640,136710144,136731648
trl-internal-testing/tiny-Qwen2ForSequenceClassification-2.5,qwen2,Qwen2ForSequenceClassification,encoder_texto,2517768,2,16,4,2,32,152064,1,1,1,1,0,4866048,4672,4870720,2437792
alefiury/wav2vec2-large-xlsr-53-gender-recognition-librispeech,wav2vec2,Wav2Vec2ForSequenceClassification,audio,1047473,24,1024,16,16,4096,32,0,0,0,0,0,32768,302039040,302071808,315701634
trl-internal-testing/tiny-GptOssForCausalLM,gpt_oss,GptOssForCausalLM,moe,885871,2,8,4,2,32,200019,1,1,1,1,1,3200304,6624,3206928,3220472
deepseek-ai/DeepSeek-OCR-2,deepseek_vl_v2,DeepseekOCR2ForCausalLM,moe,987496,12,1280,10,10,6848,129280,0,0,0,0,1,182191360,1841264640,2023456000,3389119360
sentence-transformers/paraphrase-MiniLM-L6-v2,bert,BertModel,encoder_texto,2101979,6,384,12,12,1536,30522,0,0,0,0,0,11917824,10621440,22539264,22713728
rizvandwiki/gender-classification,vit,ViTForImageClassification,vision,1448000,12,768,12,12,3072,0,0,0,0,0,0,741120,84953088,85694208,85800194
nlptown/bert-base-multilingual-uncased-sentiment,bert,BertForSequenceClassification,encoder_texto,877054,12,768,12,12,3072,105879,0,0,0,0,0,81709824,84953088,166662912,167360261
Ransaka/sinlib,,,encoder_texto,742827,,,,,,,0,0,0,0,0,,,,
cross-encoder/mmarco-mMiniLMv2-L12-H384-v1,xlm-roberta,XLMRobertaForSequenceClassification,encoder_texto,1954776,12,384,12,12,1536,250002,0,0,0,0,0,96198528,21242880,117441408,117641603
MiniMaxAI/MiniMax-M2.7,minimax_m2,MiniMaxM2ForCausalLM,moe,1222347,62,3072,48,8,1536,200064,1,1,1,1,1,1229193216,226094862336,227324055552,228689764864
Alibaba-NLP/gte-large-en-v1.5,new,NewModel,encoder_texto,930093,24,1024,16,16,4096,30528,1,0,0,0,0,31260672,302039040,333299712,434139136
sentence-transformers-testing/stsb-bert-tiny-safetensors,bert,BertModel,encoder_texto,2203334,2,128,2,2,512,30522,0,0,0,0,0,3972608,393728,4366336,4385920
Xenova/ms-marco-MiniLM-L-6-v2,bert,BertForSequenceClassification,encoder_texto,1091573,6,384,12,12,1536,30522,0,0,0,0,0,11917824,10621440,22539264,
microsoft/deberta-v3-large,deberta-v2,,encoder_texto,1456706,24,1024,16,16,4096,128100,0,0,0,0,0,131698688,302039040,433737728,
google/mobilebert-uncased,mobilebert,MobileBertForPreTraining,encoder_texto,1442376,24,512,4,4,512,30522,0,0,0,0,0,15890432,37773312,53663744,
prithivida/parrot_paraphraser_on_T5,t5,T5ForConditionalGeneration,encoder_texto,1362723,,,,,,,0,0,0,0,0,,,,
cardiffnlp/twitter-xlm-roberta-base-sentiment,xlm-roberta,XLMRobertaForSequenceClassification,encoder_texto,1137700,12,768,12,12,3072,250002,0,0,0,0,0,192397056,84953088,277350144,
google-bert/bert-base-uncased,bert,BertForMaskedLM,encoder_texto,52338347,12,768,12,12,3072,30522,0,0,0,0,0,23835648,84953088,108788736,110106428
bigscience/bloomz-560m,bloom,BloomForCausalLM,lenguaje_denso,724432,,,,,,,0,0,0,0,0,,,,559214592
google/gemma-4-E4B-it,gemma4,Gemma4ForConditionalGeneration,multimodal,4773819,42,2560,8,2,10240,262144,1,1,0,1,0,671829760,3003623424,3675453184,7996156490
facebook/esm2_t33_650M_UR50D,esm,EsmForMaskedLM,encoder_texto,1291060,33,1280,20,20,5120,33,1,0,0,0,0,42240,648890880,648933120,652358616
timm/resnet18.a3_in1k,,,encoder_texto,1752313,,,,,,,0,0,0,0,0,,,,11699112
airesearch/wav2vec2-large-xlsr-53-th,wav2vec2,Wav2Vec2ForCTC,audio,1677329,24,1024,16,16,4096,70,0,0,0,0,0,71680,302039040,302110720,
distilbert/distilgpt2,gpt2,GPT2LMHeadModel,encoder_texto,1972085,,,,,,,0,0,0,0,0,,,,88204032
lmstudio-community/Qwen3.8-27B-MLX-6bit,qwen3_5,Qwen3_5ForConditionalGeneration,multimodal,3398932,64,5120,24,4,17408,248320,1,1,1,1,0,2543908480,21027225600,23571134080,27356728560
facebook/esmfold_v1,esm,EsmForProteinFolding,encoder_texto,2072482,36,2560,40,40,10240,33,1,0,0,0,0,84480,2831339520,2831424000,
sentence-transformers/paraphrase-MiniLM-L3-v2,bert,BertModel,encoder_texto,1097073,3,384,12,12,1536,30522,0,0,0,0,0,11917824,5310720,17228544,17390336
deepseek-ai/DeepSeek-R1,deepseek_v3,DeepseekV3ForCausalLM,moe,789555,61,7168,128,128,18432,129280,1,1,1,0,1,1853358080,700381222912,702234580992,684489845504
gagan3012/wav2vec2-xlsr-nepali,wav2vec2,Wav2Vec2ForCTC,audio,1163986,24,1024,16,16,4096,65,0,0,0,0,0,66560,302039040,302105600,
Qwen/Qwen3-1.7B-Base,qwen3,Qwen3ForCausalLM,lenguaje_denso,1901396,28,2048,16,8,6144,151936,1,1,1,1,0,311164928,1409400832,1720565760,1720574976
sentence-transformers/all-MiniLM-L12-v2,bert,BertModel,encoder_texto,3966216,12,384,12,12,1536,30522,0,0,0,0,0,11917824,21242880,33160704,33360512
peft-internal-testing/tiny-clip-text-2,clip_text_model,CLIPTextModelWithProjection,encoder_texto,1316078,5,32,4,4,37,1000,0,0,0,0,0,34464,32640,67104,69497
facebook/bart-large-mnli,bart,BartForSequenceClassification,encoder_texto,3223635,,,,,,,0,0,0,0,0,,,,407344133
k2-fsa/OmniVoice,omnivoice,OmniVoice,encoder_texto,1124340,28,1024,16,8,3072,151676,1,1,1,1,0,155316224,352378880,507695104,612577288
TostAI/nsfw-image-detection-large,focalnet,FocalNetForImageClassification,encoder_texto,1010367,,,,,,,0,0,0,0,0,,,,87126219
unsloth/Qwen3.8-27B-GGUF,qwen3_5,Qwen3_5ForConditionalGeneration,multimodal,10311462,64,5120,24,4,17408,248320,1,1,1,1,0,2543908480,21027225600,23571134080,
facebook/wav2vec2-xls-r-300m,wav2vec2,Wav2Vec2ForPreTraining,audio,940148,24,1024,16,16,4096,0,0,0,0,0,0,0,302039040,302039040,
cross-encoder/ms-marco-MiniLM-L6-v2,bert,BertForSequenceClassification,encoder_texto,86493507,6,384,12,12,1536,30522,0,0,0,0,0,11917824,10621440,22539264,22714113
hexgrad/Kokoro-82M,,,encoder_texto,11526411,,,,,,,0,0,0,0,0,,,,
MoritzLaurer/mDeBERTa-v3-base-xnli-multilingual-nli-2mil7,deberta-v2,DebertaV2ForSequenceClassification,encoder_texto,894551,12,768,12,12,3072,251000,0,0,0,0,0,193161216,84953088,278114304,278812163
google/siglip2-so400m-patch14-384,siglip,,multimodal,873390,27,1152,16,16,4304,256000,0,0,0,0,0,296430336,822265344,1118695680,1136008498
allenai/specter2_base,bert,BertModel,encoder_texto,923319,12,768,12,12,3072,31090,0,0,0,0,0,24271872,84953088,109224960,
usyd-community/vitpose-plus-base,vitpose,VitPoseForPoseEstimation,encoder_texto,2451274,,,,,,,0,0,0,0,0,,,,125396497
kresnik/wav2vec2-large-xlsr-korean,wav2vec2,Wav2Vec2ForCTC,audio,1016434,24,1024,16,16,4096,1205,0,0,0,0,0,1233920,302039040,303272960,316673845
facebook/nllb-200-distilled-600M,m2m_100,M2M100ForConditionalGeneration,encoder_texto,1462118,,,,,,,0,0,0,0,0,,,,
saattrupdan/wav2vec2-xls-r-300m-ftspeech,wav2vec2,Wav2Vec2ForCTC,audio,1064280,24,1024,16,16,4096,35,0,0,0,0,0,35840,302039040,302074880,315474595
raxcore-dev/Rax-4.5,qwen3_5,Qwen3_5ForConditionalGeneration,multimodal,1110948,24,2048,8,2,6144,248320,1,1,1,1,0,509547520,1157726208,1667273728,2274069824
BAAI/bge-small-en-v1.5,bert,BertModel,encoder_texto,65591890,12,384,12,12,1536,30522,0,0,0,0,0,11917824,21242880,33160704,33360512
openai/clip-vit-large-patch14-336,clip,CLIPModel,multimodal,2562931,12,768,12,12,3072,49408,0,0,0,0,0,39197440,386992128,426189568,
Qwen/Qwen3.5-0.8B,qwen3_5,Qwen3_5ForConditionalGeneration,multimodal,2365411,24,1024,8,2,3584,248320,1,1,1,1,0,255020800,327204864,582225664,873438784
deepseek-ai/DeepSeek-V4-Flash-0731,deepseek_v4,DeepseekV4ForCausalLM,moe,4486631,,,,,,,1,1,1,1,1,,,,304180418494
cyankiwi/Qwen3.6-35B-A3B-AWQ-4bit,qwen3_5_moe,Qwen3_5MoeForConditionalGeneration,moe,773754,,,,,,,1,1,1,1,1,,,,35951822704
sentence-transformers/multi-qa-mpnet-base-dot-v1,mpnet,MPNetForMaskedLM,encoder_texto,1703452,12,768,12,12,3072,30527,0,0,0,0,0,23839488,84953088,108792576,109486978
jinaai/jina-reranker-v3,qwen3,JinaForRanking,encoder_texto,780133,28,1024,16,8,3072,151936,1,1,1,1,0,155582464,352378880,507961344,596836352
ISTA-DASLab/gemma-3-27b-it-GPTQ-4b-128g,gemma3,Gemma3ForConditionalGeneration,multimodal,699490,62,5376,32,16,21504,262208,1,1,0,1,0,1415027328,20122537728,21537565056,27632394708
Qwen/Qwen3-Reranker-4B,qwen3,Qwen3ForCausalLM,lenguaje_denso,2461839,36,2560,32,8,9728,151669,1,1,1,1,0,388272640,3279605760,3667878400,4021784576
nvidia/Cosmos3-Edge,cosmos3_edge,Cosmos3EdgeForConditionalGeneration,multimodal,1517800,28,2048,16,8,9216,131072,1,1,0,1,0,537982592,1820533504,2358516096,3858999728
Qwen/Qwen3-Reranker-0.6B,qwen3,Qwen3ForCausalLM,lenguaje_denso,1137302,28,1024,16,8,3072,151669,1,1,1,1,0,155309056,352378880,507687936,595776512
lpiccinelli/unidepth-v2-vitl14,,,encoder_texto,2659514,,,,,,,0,0,0,0,0,,,,353831043
Qwen/Qwen2.5-VL-32B-Instruct-AWQ,qwen2_5_vl,Qwen2_5_VLForConditionalGeneration,multimodal,1718314,64,5120,40,8,27648,152064,1,1,1,1,0,1558370560,31206277120,32764647680,33452718336
sentence-transformers/distiluse-base-multilingual-cased-v2,distilbert,DistilBertModel,encoder_texto,1101644,,,,,,,0,0,0,0,0,,,,134734080
Alibaba-NLP/gte-reranker-modernbert-base,modernbert,ModernBertForSequenceClassification,encoder_texto,2691623,22,768,12,12,1152,50368,0,0,0,0,0,44974080,90866688,135840768,149605633
Qwen/Qwen3.5-35B-A3B-FP8,qwen3_5_moe,Qwen3_5MoeForConditionalGeneration,moe,1385581,,,,,,,1,1,1,1,1,,,,35953925552
nvidia/GLM-5.2-NVFP4,glm_moe_dsa,GlmMoeDsaForCausalLM,moe,962998,78,6144,64,64,12288,154880,1,1,1,0,1,1903165440,765668007936,767571173376,380989135104
google/gemma-4-E2B-it,gemma4,Gemma4ForConditionalGeneration,multimodal,3220376,35,1536,8,1,6144,262144,1,1,0,1,0,403394304,959775744,1363170048,5123178051
Qwen/Qwen3-8B-AWQ,qwen3,Qwen3ForCausalLM,lenguaje_denso,1599745,36,4096,32,8,12288,151936,1,1,1,1,0,1244659712,6946062336,8190722048,8190735360
nvidia/Nemotron-3-Nano-Omni-30B-A3B-Reasoning-NVFP4,NemotronH_Nano_Omni_Reasoning_V3,NemotronH_Nano_Omni_Reasoning_V3,moe,781445,52,2688,32,2,1856,131072,1,0,0,1,1,707236992,67229180928,67936417920,18326275008
microsoft/deberta-v3-base,deberta-v2,,encoder_texto,2939035,12,768,12,12,3072,128100,0,0,0,0,0,98774016,84953088,183727104,
cardiffnlp/twitter-roberta-base-sentiment-latest,roberta,RobertaForSequenceClassification,encoder_texto,3280103,12,768,12,12,3072,50265,0,0,0,0,0,38999040,84953088,123952128,
Systran/faster-whisper-tiny,,,encoder_texto,2098000,,,,,,,0,0,0,0,0,,,,
amunchet/rorshark-vit-base,vit,ViTForImageClassification,vision,885563,12,768,12,12,3072,0,0,0,0,0,0,741120,84953088,85694208,85800194
microsoft/layoutlmv3-base,layoutlmv3,,encoder_texto,1164949,12,768,12,12,3072,50265,0,0,0,0,0,38999040,84953088,123952128,125327490
laion/CLIP-ViT-L-14-laion2B-s32B-b82K,clip,CLIPModel,multimodal,3467188,12,768,12,12,3072,49408,0,0,0,0,0,38869760,386992128,425861888,427616846
Systran/faster-whisper-base,,,encoder_texto,1656443,,,,,,,0,0,0,0,0,,,,
lfcc/bert-portuguese-ner,bert,BertForTokenClassification,encoder_texto,732250,12,768,12,12,3072,29794,0,0,0,0,0,23276544,84953088,108229632,
trl-internal-testing/tiny-Qwen2ForCausalLM-2.5,qwen2,Qwen2ForCausalLM,lenguaje_denso,17646620,2,8,4,2,32,151665,1,1,1,1,0,2426640,1952,2428592,2428632
cyankiwi/Qwen3.8-27B-AWQ-INT4,qwen3_5,Qwen3_5ForConditionalGeneration,multimodal,1284582,64,5120,24,4,17408,248320,1,1,1,1,0,2543908480,21027225600,23571134080,27781427952
shibing624/text2vec-base-chinese,bert,BertModel,encoder_texto,1032220,12,768,12,12,3072,21128,0,0,0,0,0,16621056,84953088,101574144,102268160
Qwen/Qwen3.5-27B,qwen3_5,Qwen3_5ForConditionalGeneration,multimodal,2317755,64,5120,24,4,17408,248320,1,1,1,1,0,2543908480,21027225600,23571134080,27781427952
openai/whisper-large-v3-turbo,whisper,WhisperForConditionalGeneration,encoder_texto,6962558,,,,,,,0,0,0,0,0,,,,808878080
microsoft/resnet-50,resnet,ResNetForImageClassification,encoder_texto,1322246,,,,,,,0,0,0,0,0,,,,25610152
IDEA-Research/grounding-dino-tiny,grounding-dino,GroundingDinoForObjectDetection,encoder_texto,868453,,,,,,,0,0,0,0,0,,,,172277902
intfloat/multilingual-e5-small,bert,BertModel,encoder_texto,12139398,12,384,12,12,1536,250037,0,0,0,0,0,96211584,21242880,117454464,117654272
ornith-ai/Ornith-1.5-35B-A3B-NVFP4,qwen3_5_moe,Qwen3_5MoeForConditionalGeneration,moe,708124,,,,,,,1,1,1,1,1,,,,19528501104
timm/vit_small_patch14_dinov2.lvd142m,,,encoder_texto,1162849,,,,,,,0,0,0,0,0,,,,22056192
deepseek-ai/DeepSeek-V3-0324,deepseek_v3,DeepseekV3ForCausalLM,moe,1042736,61,7168,128,128,18432,129280,1,1,1,0,1,1853358080,700381222912,702234580992,684531386000
timm/mobilenetv3_small_100.lamb_in1k,,,encoder_texto,17202577,,,,,,,0,0,0,0,0,,,,2554968
jonatasgrosman/wav2vec2-large-xlsr-53-portuguese,wav2vec2,Wav2Vec2ForCTC,audio,5002753,24,1024,16,16,4096,46,0,0,0,0,0,47104,302039040,302086144,
Alibaba-NLP/gte-Qwen2-1.5B-instruct,qwen2,Qwen2ForCausalLM,lenguaje_denso,773242,28,1536,12,2,8960,151646,1,1,1,1,0,465856512,1310281728,1776138240,1776197120
microsoft/Florence-2-base,florence2,Florence2ForConditionalGeneration,multimodal,2776708,,,,,,,0,0,0,0,0,,,,231567705
thenlper/gte-small,bert,BertModel,encoder_texto,1068692,12,384,12,12,1536,30522,0,0,0,0,0,11917824,21242880,33160704,33360512
google/siglip2-base-patch16-224,siglip,,multimodal,1492589,,,,,,,0,0,0,0,0,,,,375187970
Qwen/Qwen2.5-32B-Instruct,qwen2,Qwen2ForCausalLM,lenguaje_denso,2092946,64,5120,40,8,27648,152064,1,1,1,1,0,1557135360,31206277120,32763412480,32763876352
Qwen/Qwen3-VL-4B-Instruct,qwen3_vl,Qwen3VLForConditionalGeneration,multimodal,3965678,36,2560,32,8,9728,151936,1,1,1,1,0,389944320,3279605760,3669550080,4437815808
nvidia/MiniMax-M2.5-NVFP4,minimax_m2,MiniMaxM2ForCausalLM,moe,700898,62,3072,48,8,1536,200064,1,1,1,1,1,1229193216,226094862336,227324055552,116349510656
Qwen/Qwen3-4B-Instruct-2507-FP8,qwen3,Qwen3ForCausalLM,lenguaje_denso,1102998,36,2560,32,8,9728,151936,1,1,1,1,0,388956160,3279605760,3668561920,4411646016
Qwen/Qwen2.5-1.5B-Instruct,qwen2,Qwen2ForCausalLM,lenguaje_denso,7308263,28,1536,12,2,8960,151936,1,1,1,1,0,233373696,1310281728,1543655424,1543714304
Qwen/Qwen3-30B-A3B-Instruct-2507-FP8,qwen3_moe,Qwen3MoeForCausalLM,moe,734939,48,2048,32,4,6144,151936,1,1,1,1,1,622329856,29456793600,30079123456,30533947392
Xenova/all-MiniLM-L6-v2,bert,BertModel,encoder_texto,2668416,6,384,12,12,1536,30522,0,0,0,0,0,11917824,10621440,22539264,
Xenova/bge-base-en-v1.5,bert,BertModel,encoder_texto,2334240,12,768,12,12,3072,30522,0,0,0,0,0,23835648,84953088,108788736,
Qwen/Qwen2-VL-7B-Instruct,qwen2_vl,Qwen2VLForConditionalGeneration,multimodal,1265780,28,3584,28,4,18944,152064,1,1,1,1,0,1093023232,6525489152,7618512384,8291375616
nvidia/bigvgan_v2_22khz_80band_256x,,,encoder_texto,2029496,,,,,,,0,0,0,0,0,,,,
WhereIsAI/UAE-Large-V1,bert,BertModel,encoder_texto,1145667,24,1024,16,16,4096,30522,0,0,0,0,0,31780864,302039040,333819904,335141888
Qwen/Qwen3-32B,qwen3,Qwen3ForCausalLM,lenguaje_denso,5153212,64,5120,64,8,25600,151936,1,1,1,1,0,1555824640,28941352960,30497177600,32762123264
google/gemma-4-31B-it,gemma4,Gemma4ForConditionalGeneration,multimodal,8283566,60,5376,32,16,21504,262144,1,1,0,1,0,1410397824,19486685952,20897083776,31273088876
rhasspy/faster-whisper-tiny-int8,,,encoder_texto,1575361,,,,,,,0,0,0,0,0,,,,
openai/clip-vit-base-patch32,clip,CLIPModel,multimodal,20579479,12,512,8,8,2048,49408,0,0,0,0,0,27734016,122714112,150448128,
Qwen/Qwen3.5-9B,qwen3_5,Qwen3_5ForConditionalGeneration,multimodal,11772488,32,4096,16,4,12288,248320,1,1,1,1,0,2035349120,6174277632,8209626752,9653104368
laion/CLIP-ViT-B-32-laion2B-s34B-b79K,clip,CLIPModel,multimodal,3846084,12,512,8,8,2048,49408,0,0,0,0,0,27734016,122714112,150448128,151277439
mixedbread-ai/mxbai-embed-large-v1,bert,BertModel,encoder_texto,2893357,24,1024,16,16,4096,30522,0,0,0,0,0,31780864,302039040,333819904,335141888
KBLab/wav2vec2-large-voxrex-swedish,wav2vec2,Wav2Vec2ForCTC,audio,2220272,24,1024,16,16,4096,46,0,0,0,0,0,47104,302039040,302086144,315485870
deepseek-ai/DeepSeek-OCR,deepseek_vl_v2,DeepseekOCRForCausalLM,moe,2423974,12,1280,10,10,6848,129280,0,0,0,0,1,182191360,1841264640,2023456000,3336106240
NeuML/pubmedbert-base-embeddings,bert,BertModel,encoder_texto,844445,12,768,12,12,3072,30522,0,0,0,0,0,23835648,84953088,108788736,109482240
zhihan1996/DNABERT-2-117M,,,encoder_texto,1221640,12,768,12,12,3072,4096,0,0,0,0,0,3540480,84953088,88493568,
Qwen/Qwen2.5-Coder-32B-Instruct,qwen2,Qwen2ForCausalLM,lenguaje_denso,1703797,64,5120,40,8,27648,152064,1,1,1,1,0,1557135360,31206277120,32763412480,32763876352
jonatasgrosman/wav2vec2-large-xlsr-53-dutch,wav2vec2,Wav2Vec2ForCTC,audio,3653331,24,1024,16,16,4096,39,0,0,0,0,0,39936,302039040,302078976,
Qwen/Qwen3-0.6B,qwen3,Qwen3ForCausalLM,lenguaje_denso,21510837,28,1024,16,8,3072,151936,1,1,1,1,0,155582464,352378880,507961344,751632384
Qdrant/bm25,,,encoder_texto,1056035,,,,,,,0,0,0,0,0,,,,
ProsusAI/finbert,bert,BertForSequenceClassification,encoder_texto,5238691,12,768,12,12,3072,30522,0,0,0,0,0,23835648,84953088,108788736,
jonatasgrosman/wav2vec2-large-xlsr-53-chinese-zh-cn,wav2vec2,Wav2Vec2ForCTC,audio,1410971,24,1024,16,16,4096,3503,0,0,0,0,0,3587072,302039040,305626112,
